"VariableName","ReadableVariableName","MeasurementUnits","AllowedValues","VariableDefinitionFromSource"
"REF_DATE","DATE","YYYY-MM","1976-01 to 2023-01","The reference period (by year, month)."
"GEO","REGION","Category","All Canadian provinces and territories","The geographic area."
"Sex","SEX","Category","Male, Female, Both Sexes","The sex being investigated."
"Age group","AGE","Category","15 to 24 years, 15 to 64 years, 15 years and over, 25 to 54 years, 25 years and over, 55 years and over, 15 to 19 years, 20 to 24 years, 55 to 64 years","The age group of the economic measure."
"Employment","EMP","Numeric","0 - 10,000,000","Number of persons who, during the reference week, worked for pay or profit, or performed unpaid family work or had a job but were not at work due to own illness or disability, personal or family responsibilities, labour dispute, vacation, or other reason."
"Full-time employment","EMP_FT","Numeric","0 - 10,000,000","Full-time employment consists of persons who usually work 30 hours or more per week at their main or only job."
"Labour force","LAB_FORCE","Numeric","0 - 10,000,000","Number of civilian, non-institutionalized persons 15 years of age and over who, during the reference week, were employed or unemployed."
"Part-time employment","EMP_PT","Numeric","0 - 10,000,000","Part-time employment consists of persons who usually work less than 30 hours per week at their main or only job."
"Population","POP","Numeric","0 - 10,000,000","Number of persons of working age, 15 years and over."
"Unemployment","UNEMP","Numeric","0 - 10,000,000","Number of persons who, during the reference week, were without work, had looked for work in the past four weeks, and were available for work. Those persons on layoff or who had a new job to start in four weeks or less are considered unemployed."
"Employment rate","EMP_RATE","Percentage","0.0 - 100.0","The employment rate is the number of persons employed expressed as a percentage of the population 15 years of age and over."
"Participation rate","PART_RATE","Percentage","0.0 - 100.0","The participation rate is the number of labour force participants expressed as a percentage of the population 15 years of age and over."
"Unemployment rate","UNEMP_RATE","Percentage","0.0 - 100.0","The unemployment rate is the number of unemployed persons expressed as a percentage of the labour force."
